"MARKET","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AMEX","XXII","22nd Century Group, Inc","1.42","$116.72M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"AMEX","FAX","Aberdeen Asia-Pacific Income Fund Inc","5.09","$1.3B","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"AMEX","IAF","Aberdeen Australia Equity Fund Inc","5.73","$130.47M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"AMEX","CH","Aberdeen Chile Fund, Inc.","6.21","$58.29M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"AMEX","ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","12.68","$122.72M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe",
"AMEX","FCO","Aberdeen Global Income Fund, Inc.","8.64","$75.72M","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"AMEX","IF","Aberdeen Indonesia Fund, Inc.","6.59","$61.95M","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"AMEX","ISL","Aberdeen Israel Fund, Inc.","16.5","$65.97M","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"AMEX","ACU","Acme United Corporation.","20.63","$68.55M","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AMEX","AIII","ACRE Realty Investors, Inc.","1.15","$23.53M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",
"AMEX","ATNM","Actinium Pharmaceuticals, Inc.","1.39","$66.33M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm",
"AMEX","AE","Adams Resources & Energy, Inc.","36.93","$155.76M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"AMEX","ADK","Adcare Health Systems Inc","2.01","$40.1M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"AMEX","ADK^A","Adcare Health Systems Inc","21.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",
"AMEX","ACY","AeroCentury Corp.","9.4378","$14.79M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"AMEX","WGA","AG&E Holdings, Inc.","0.2724","$3.17M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga",
"AMEX","AIRI","Air Industries Group","4.2825","$32.42M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"AMEX","AA^","Alcoa Inc.","90.01","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AMEX","AXU","Alexco Resource Corp","1.58","$144.82M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"AMEX","AAU","Almaden Minerals, Ltd.","1.3","$111.85M","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"AMEX","APT","Alpha Pro Tech, Ltd.","3.46","$58.68M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"AMEX","AAMC","Altisource Asset Management Corp","21.26","$35.81M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
"AMEX","DIT","AMCON Distributing Company","91.505","$53.73M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"AMEX","ADGE","American DG Energy Inc.","0.2398","$12.15M","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/adge",
"AMEX","AFCO","American Farmland Company","7.67","$129.79M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/afco",
"AMEX","ALN","American Lorain Corporation","0.5879","$22.49M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMEX","AMS","American Shared Hospital Services","3.11","$16.69M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"AMEX","AMPE","Ampio Pharmaceuticals, Inc.","0.8185","$42.58M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"AMEX","APHB","AmpliPhi Biosciences Corporation","1.501","$16.69M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aphb",
"AMEX","AXN","Aoxing Pharmaceutical Company, Inc.","0.5641","$42.99M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"AMEX","HRT","Arrhythmia Research Technology Inc.","4.36","$12.28M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"AMEX","AKG","Asanko Gold Inc.","3.59","$707.35M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"AMEX","AINC","Ashford Inc.","46.34","$93.4M","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc",
"AMEX","ASB.WS","Associated Banc-Corp","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asb.ws",
"AMEX","AST","Asterias Biotherapeutics, Inc.","4.14","$188.03M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast",
"AMEX","AST.WS","Asterias Biotherapeutics, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ast.ws",
"AMEX","AWX","Avalon Holdings Corporation","2.97","$11.3M","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AMEX","ASM","Avino Silver","1.84","$83.24M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"AMEX","BTG","B2Gold Corp","2.29","$2.19B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"AMEX","BTN","Ballantyne Strong, Inc","6.99","$99.51M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"AMEX","BKJ","Bancorp of New Jersey, Inc","11.37","$71.63M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"AMEX","BCV","Bancroft Fund Limited","20.57","$105.55M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv",
"AMEX","BCV^A","Bancroft Fund Limited","25.6422","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv^a",
"AMEX","BAA","BANRO CORPORATION","0.2837","$85.81M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa",
"AMEX","BHB","Bar Harbor Bankshares, Inc.","36.74","$221.65M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"AMEX","BRN","Barnwell Industries, Inc.","1.615","$13.37M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"AMEX","BGSF","BG Staffing Inc","14.98","$129.85M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"AMEX","BPMX","BioPharmX Corporation","0.43","$13.41M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bpmx",
"AMEX","BTX","BioTime, Inc.","3.85","$398.06M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx",
"AMEX","BTX.WS","BioTime, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btx.ws",
"AMEX","BGI","Birks Group Inc.","1.845","$33.14M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi",
"AMEX","BZM","BlackRock Maryland Municipal Bond Trust","16.3499","$33.95M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"AMEX","MHE","BlackRock Massachusetts Tax-Exempt Trust","14.76","$34.92M","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhe",
"AMEX","BLE","BlackRock Municipal Income Trust II","15.96","$374.59M","2002","n/a","n/a","http://www.nasdaq.com/symbol/ble",
"AMEX","BLJ","Blackrock New Jersey Municipal Bond Trust","17.14","$39.85M","2002","n/a","n/a","http://www.nasdaq.com/symbol/blj",
"AMEX","BFY","BlackRock New York Municipal Income Trust II","16.96","$84.78M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bfy",
"AMEX","BHV","BlackRock Virginia Municipal Bond Trust","18.68","$29.81M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bhv",
"AMEX","BDR","Blonder Tongue Laboratories, Inc.","0.62","$4.58M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"AMEX","BRG","Bluerock Residential Growth REIT, Inc.","12.02","$235.18M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg",
"AMEX","BRG^A","Bluerock Residential Growth REIT, Inc.","26.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/brg^a",
"AMEX","BRG^C","Bluerock Residential Growth REIT, Inc.","26.106","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/brg^c",
"AMEX","BVX","Bovie Medical Corporation","5.17","$140.59M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bvx",
"AMEX","BWL.A","Bowl America, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bwl.a",
"AMEX","BTI","British American Tobacco p.l.c.","124.73","$116.27B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti",
"AMEX","CANF","Can-Fite Biopharma Ltd","2.68","$37.73M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/canf",
"AMEX","ROX","Castle Brands, Inc.","0.8695","$139.69M","2006","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/rox",
"AMEX","CAW","CCA Industries, Inc.","3.03","$21.23M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/caw",
"AMEX","CVM","Cel-Sci Corporation","0.28","$40.7M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cvm",
"AMEX","CVM.WS","Cel-Sci Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cvm.ws",
