"Market","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NASDAQ","PIH","1347 Property Insurance Holdings, Inc.","7.505","$45.23M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"NASDAQ","FLWS","1-800 FLOWERS.COM, Inc.","9.59","$623.46M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"NASDAQ","FCCY","1st Constitution Bancorp (NJ)","13.55","$107.76M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"NASDAQ","SRCE","1st Source Corporation","34.46","$891.38M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"NASDAQ","VNET","21Vianet Group, Inc.","7.95","$905.11M","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"NASDAQ","TWOU","2U, Inc.","36.25","$1.7B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"NASDAQ","JOBS","51job, Inc.","33.2","$1.97B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"NASDAQ","CAFD","8point3 Energy Partners LP","15.05","$1.19B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"NASDAQ","EGHT","8x8 Inc","15.4","$1.38B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"NASDAQ","AVHI","A V Homes, Inc.","16.2","$367.16M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"NASDAQ","SHLM","A. Schulman, Inc.","28.05","$825.49M","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"NASDAQ","AAON","AAON, Inc.","29.55","$1.56B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"NASDAQ","ABAX","ABAXIS, Inc.","50.69","$1.14B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"NASDAQ","ABEO","Abeona Therapeutics Inc.","8","$268.37M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"NASDAQ","ABEOW","Abeona Therapeutics Inc.","4.5","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"NASDAQ","ABIL","Ability Inc.","3.5889","$90.71M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"NASDAQ","ABMD","ABIOMED, Inc.","121.97","$5.25B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"NASDAQ","AXAS","Abraxas Petroleum Corporation","1.8","$243.07M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"NASDAQ","ACIU","AC Immune SA","15.74","$871.93M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"NASDAQ","ACIA","Acacia Communications, Inc.","86.5","$3.1B","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"NASDAQ","ACTG","Acacia Research Corporation","6.15","$309.86M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
