"Market", "Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NYSE","DDD","3D Systems Corporation","18.32","$2.06B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"NYSE","MMM","3M Company","172.39","$104.19B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"NYSE","WBAI","500.com Limited","19.41","$804.06M","2013","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/wbai",
"NYSE","WUBA","58.com Inc.","48","$6.92B","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"NYSE","AHC","A.H. Belo Corporation","7.3","$158.24M","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"NYSE","ATEN","A10 Networks, Inc.","9.81","$645.23M","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"NYSE","AAC","AAC Holdings, Inc.","17.24","$408.61M","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
"NYSE","AIR","AAR Corp.","31.69","$1.08B","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/air",
"NYSE","AAN","Aaron&#39;s,  Inc.","25.17","$1.83B","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"NYSE","ABB","ABB Ltd","22.76","$48.41B","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"NYSE","ABT","Abbott Laboratories","42.74","$62.83B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abt",
"NYSE","ABBV","AbbVie Inc.","63.39","$103.23B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"NYSE","ANF","Abercrombie & Fitch Company","16.28","$1.1B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/anf",
"NYSE","GCH","Aberdeen Greater China Fund, Inc.","9.17","$82.21M","1992","n/a","n/a","http://www.nasdaq.com/symbol/gch",
"NYSE","JEQ","Aberdeen Japan Equity Fund, Inc. ","8.26","$112.34M","1992","n/a","n/a","http://www.nasdaq.com/symbol/jeq",
"NYSE","SGF","Aberdeen Singapore Fund, Inc.","9.39","$71.58M","1990","n/a","n/a","http://www.nasdaq.com/symbol/sgf",
"NYSE","ABM","ABM Industries Incorporated","39.1","$2.18B","n/a","Finance","Diversified Commercial Services","http://www.nasdaq.com/symbol/abm",
"NYSE","AKR","Acadia Realty Trust","34.49","$2.61B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/akr",
"NYSE","ACN","Accenture plc","118.21","$76.21B","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"NYSE","ACCO","Acco Brands Corporation","9.59","$1.03B","n/a","Consumer Durables","Publishing","http://www.nasdaq.com/symbol/acco",
"NYSE","ACW","Accuride Corporation New","2.57","$123.98M","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/acw",
"NYSE","ATV","Acorn International, Inc.","9.77","$37.39M","2007","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/atv",
